"question_no","question","1","2","3","4"
"88.","Which report evaluates air quality?","(a) AQI","(b) Environmental Change Performance Index","(c) CPI","(d) GPI"
"89.","Which report evaluates digital readiness?","(a) AI Index","(b) Network Readiness Index","(c) CPI","(d) HDI"
"90.","Which report evaluates sustainability?","(a) CPI","(b) UN SDG Report","(c) GPI","(d) HDI"

"91.","Which report ranked Iceland first in 2025?","(a) HDI","(b) GPI","(c) Gender Gap","(d) All of the above"
"92.","Which report ranked Finland first in 2025?","(a) HDI","(b) Happiness Report","(c) GPI","(d) CPI"
"93.","Which report ranked Singapore first in 2025?","(a) Economic Freedom","(b) Passport Index","(c) Both A & B","(d) None"
"94.","Which report ranked Switzerland first in 2025?","(a) GII","(b) Competitiveness Index","(c) Both A & B","(d) None"
"95.","Which report ranked Somalia lowest in 2025?","(a) GPI","(b) Hunger Index","(c) CPI","(d) HDI"

"96.","India ranked 38th in which report?","(a) GII","(b) LPI","(c) NRI","(d) CPI"
"97.","India ranked 49th in which report?","(a) NRI","(b) LPI","(c) GII","(d) CPI"
"98.","India ranked 102nd in which report?","(a) CPI","(b) GHI","(c) GPI","(d) HDI"
"99.","India ranked 130th in which report?","(a) HDI","(b) GPI","(c) CPI","(d) GII"
"100.","India ranked 118th in which report?","(a) GPI","(b) HDI","(c) Happiness Report","(d) CPI"
