question_no,question,1,2,3,4,correct_ans
68, "What is the name of India's 1st transgender sarpanch, who is now a Lok Sabha candidate?", "Shobha Yadav", "Gauri Sawant", "Durga Bai Majhwar", "Laxmi Narayan Tripathi", "Durga Bai Majhwar"
69, "Which state launched the Nakshastra Sabha astrotourism campaign?", "Uttarakhand", "Himachal Pradesh", "Maharashtra", "Gujarat", "Uttarakhand"
70, "Who won the Goldman Environmental Prize 2024?", "Alok Shukla", "Ravi Kannan", "Purnima Devi Barman", "Naima Khatoon", "Alok Shukla"
71, "Which country hosted the Federation Cup 2024?", "India", "Australia", "South Korea", "Japan", "India"
72, "Who won gold at the 2024 Federation Cup in India?", "Neeraj Chopra", "Abhinav Bindra", "Vijender Singh", "Dipa Karmakar", "Neeraj Chopra"
73, "Who won the Best Actress award at the 69th National Film Awards?", "Deepika Padukone", "Kangana Ranaut", "Alia Bhatt", "Priyanka Chopra", "Alia Bhatt"
74, "Who is the principal secretary to PM Modi?", "P.K. Mishra", "Ajit Doval", "Kapil Sibal", "Sanjay Bhalla", "P.K. Mishra"
75, "Who became the first female DGP of Meghalaya?", "Idashisha Nongran", "Kiran Bedi", "Durga Shakti Nagpal", "Sonia Narang", "Idashisha Nongran"
76, "Which state received GI tags for the Sanjhi ceremonial craft?", "Rajasthan", "Madhya Pradesh", "Uttar Pradesh", "Gujarat", "Uttar Pradesh"
77, "Who is the re-appointed Prime Minister of Russia?", "Vladimir Putin", "Mikhail Mishustin", "Dmitry Medvedev", "Sergei Lavrov", "Mikhail Mishustin"
78, "Which state launched the Mukhymantri Majhi Ladki Behan scheme?", "Maharashtra", "Madhya Pradesh", "Uttar Pradesh", "Rajasthan", "Maharashtra"
79, "What is the main feature of the Public Examinations Bill 2024?", "Increasing exam centers", "Fines for paper leaks", "Strict punishments for cheating", "Reduction in fees", "Fines for paper leaks"
80, "Which bank launched the Maha Krishi Samruddhi Yojana?", "State Bank of India", "Bank of Maharashtra", "Punjab National Bank", "ICICI Bank", "Bank of Maharashtra"
81, "What is the name of the anti-paper leak bill passed in 2024?", "Exam Fairness Bill", "Public Examinations Bill", "Education Reforms Bill", "Anti-Cheating Bill", "Public Examinations Bill"
82, "What is the duration of the coaching under the Naya Savera Scheme?", "1 month", "3 months to 2 years", "6 months", "1 year", "3 months to 2 years"
83, "Which state launched the Pirul Lao-Paise Lao campaign?", "Uttarakhand", "Himachal Pradesh", "Karnataka", "Maharashtra", "Uttarakhand"
84, "Who is the chairperson of NAFED?", "Debashish Panda", "Kapil Sibal", "Jetha Ahir", "Ajit Doval", "Jetha Ahir"
85, "Who is the chairperson of the SC Bar Association?", "Kapil Sibal", "Sonia Narang", "Ravi Shankar Prasad", "Arvind Datar", "Kapil Sibal"
86, "Which country won the Sultan Azlan Shah Cup 2024?", "Pakistan", "India", "Malaysia", "Japan", "Japan"
87, "Who is India's National Security Advisor?", "Ajit Doval", "Kapil Sibal", "P.K. Mishra", "Anil Baijal", "Ajit Doval"
88, "Who won the Whitley Gold Award in 2024?", "Ravi Kannan", "Purnima Devi Barman", "Alok Shukla", "Kapil Sibal", "Purnima Devi Barman"
89, "Which Indian actor was featured on the cover of Newsweek Magazine?", "Shah Rukh Khan", "Ranbir Kapoor", "Amitabh Bachchan", "PM Narendra Modi", "PM Narendra Modi"
90, "Which scheme was launched by the Ministry of Minority Affairs to assist students?", "Mukhymantri Scholarship Scheme", "Free Coaching Scheme", "Naya Savera Scheme", "Prime Minister’s Scholarship Scheme", "Naya Savera Scheme"
91, "Who became the next Chief of the Army Staff in 2024?", "Ajit Doval", "Lt. Gen. Upendra Dwivedi", "P.K. Mishra", "Bipin Rawat", "Lt. Gen. Upendra Dwivedi"
92, "Which state was the first to implement a menstrual leave policy for female employees?", "Karnataka", "Sikkim", "Punjab", "Kerala", "Sikkim"
93, "What is the rank of IIT Bombay in the QS World University Rankings 2024?", "1st", "118th", "95th", "200th", "118th"
94, "Which country won the Superbet Rapid & Blitz Poland Chess Tournament 2024?", "India", "Russia", "USA", "Norway", "Norway"
95, "Who is India's first female jury member at the Summer Olympics?", "Bilquis Mir", "Dipa Karmakar", "Saina Nehwal", "P.V. Sindhu", "Bilquis Mir"
96, "Which footballer won the 2024 Laureus Male Player of the Year award?", "Lionel Messi", "Cristiano Ronaldo", "Neymar", "Novak Djokovic", "Novak Djokovic"
97, "Who won the 2024 Laureus Female Player of the Year award?", "Serena Williams", "Simone Biles", "Aitana Bonmati", "Naomi Osaka", "Aitana Bonmati"
98, "Who was appointed as the president of ASSOCHAM?", "Sanjay Nayar", "Kapil Sibal", "Anil Baijal", "Ajit Doval", "Sanjay Nayar"
99, "Which country won the Sultan Azlan Shah Cup 2024?", "India", "Japan", "Malaysia", "Pakistan", "Japan"
100, "Which country was the runner-up in the 2024 Sultan Azlan Shah Cup?", "India", "Pakistan", "Japan", "Malaysia", "Pakistan"
