"question_no","question","1","2","3","4"
"40.","PMGSY किस प्रकार की योजना है?","(a) केंद्रीय क्षेत्र","(b) केंद्र प्रायोजित","(c) राज्य योजना","(d) निजी"

"41.","स्वच्छ भारत मिशन (ग्रामीण) का उद्देश्य क्या है?","(a) जल आपूर्ति","(b) खुले में शौच मुक्त","(c) कचरा प्रबंधन","(d) स्वास्थ्य बीमा"
"42.","SBM-G का प्रारंभ किस वर्ष हुआ?","(a) 2012","(b) 2013","(c) 2014","(d) 2015"
"43.","SBM-G किस मंत्रालय से संबंधित है?","(a) स्वास्थ्य","(b) जल शक्ति","(c) ग्रामीण विकास","(d) शहरी विकास"
"44.","SBM का दूसरा चरण किस नाम से जाना जाता है?","(a) ODF+","(b) ODF++","(c) SBM 2.0","(d) Clean India"
"45.","SBM 2.0 का फोकस क्या है?","(a) शौचालय","(b) ठोस एवं तरल अपशिष्ट","(c) जल आपूर्ति","(d) स्वास्थ्य"

"46.","जल जीवन मिशन का उद्देश्य क्या है?","(a) सिंचाई","(b) नल से जल","(c) वर्षा जल संचयन","(d) नदी जोड़"
"47.","जल जीवन मिशन का लक्ष्य वर्ष क्या है?","(a) 2022","(b) 2024","(c) 2026","(d) 2028"
"48.","जल जीवन मिशन किस मंत्रालय द्वारा संचालित है?","(a) ग्रामीण विकास","(b) जल शक्ति","(c) स्वास्थ्य","(d) पर्यावरण"
"49.","JJM के अंतर्गत जल आपूर्ति किसे दी जाती है?","(a) शहरी घर","(b) ग्रामीण घर","(c) सभी","(d) स्कूल"
"50.","जल जीवन मिशन किस प्रकार की योजना है?","(a) केंद्रीय क्षेत्र","(b) केंद्र प्रायोजित","(c) राज्य योजना","(d) निजी"

"51.","प्रधानमंत्री मुद्रा योजना का उद्देश्य क्या है?","(a) ऋण माफी","(b) उद्यमिता","(c) बीमा","(d) पेंशन"
"52.","PMMY के अंतर्गत कितने प्रकार के ऋण हैं?","(a) 2","(b) 3","(c) 4","(d) 5"
"53.","PMMY के तहत शिशु ऋण सीमा कितनी है?","(a) ₹50,000","(b) ₹1 लाख","(c) ₹5 लाख","(d) ₹10 लाख"
"54.","PMMY के तहत किशोर ऋण सीमा क्या है?","(a) ₹50,000–₹5 लाख","(b) ₹1–5 लाख","(c) ₹5–10 लाख","(d) ₹10–20 लाख"
"55.","PMMY के तहत तरुण ऋण सीमा क्या है?","(a) ₹5–10 लाख","(b) ₹10–20 लाख","(c) ₹1–10 लाख","(d) ₹20–50 लाख"

"56.","प्रधानमंत्री कौशल विकास योजना का उद्देश्य क्या है?","(a) रोजगार","(b) कौशल प्रशिक्षण","(c) शिक्षा","(d) ऋण"
"57.","PMKVY किस मंत्रालय से संबंधित है?","(a) शिक्षा","(b) कौशल विकास","(c) श्रम","(d) वित्त"
"58.","PMKVY का लक्ष्य समूह कौन है?","(a) छात्र","(b) बेरोजगार युवा","(c) किसान","(d) महिला"
"59.","PMKVY का प्रारंभ किस वर्ष हुआ?","(a) 2014","(b) 2015","(c) 2016","(d) 2017"
"60.","PMKVY किस प्रकार की योजना है?","(a) केंद्रीय क्षेत्र","(b) केंद्र प्रायोजित","(c) राज्य","(d) निजी"

"61.","प्रधानमंत्री पोषण शक्ति निर्माण योजना किससे संबंधित है?","(a) स्वास्थ्य","(b) पोषण","(c) शिक्षा","(d) कृषि"
"62.","PM पोषण योजना पहले किस नाम से जानी जाती थी?","(a) ICDS","(b) मिड-डे मील","(c) POSHAN","(d) आंगनवाड़ी"
"63.","PM पोषण योजना का उद्देश्य क्या है?","(a) नामांकन","(b) पोषण स्तर सुधार","(c) छात्रवृत्ति","(d) पुस्तक वितरण"
"64.","PM पोषण योजना किस मंत्रालय से संबंधित है?","(a) स्वास्थ्य","(b) शिक्षा","(c) महिला एवं बाल विकास","(d) सामाजिक न्याय"
"65.","PM पोषण योजना किस स्तर के छात्रों के लिए है?","(a) केवल प्राथमिक","(b) कक्षा 1–8","(c) कक्षा 1–10","(d) सभी"

"66.","प्रधानमंत्री किसान सम्मान निधि का उद्देश्य क्या है?","(a) ऋण","(b) आय सहायता","(c) बीमा","(d) पेंशन"
"67.","PM-KISAN के अंतर्गत वार्षिक सहायता कितनी है?","(a) ₹4,000","(b) ₹6,000","(c) ₹8,000","(d) ₹10,000"
"68.","PM-KISAN किस मंत्रालय द्वारा संचालित है?","(a) वित्त","(b) कृषि","(c) ग्रामीण विकास","(d) जल शक्ति"
"69.","PM-KISAN में सहायता कितनी किस्तों में दी जाती है?","(a) 2","(b) 3","(c) 4","(d) 6"
"70.","PM-KISAN किस प्रकार की योजना है?","(a) केंद्रीय क्षेत्र","(b) केंद्र प्रायोजित","(c) राज्य","(d) निजी"

"71.","प्रधानमंत्री मत्स्य संपदा योजना का उद्देश्य क्या है?","(a) दुग्ध","(b) मत्स्य विकास","(c) कृषि","(d) बीमा"
"72.","PMMSY किस मंत्रालय से संबंधित है?","(a) कृषि","(b) पशुपालन एवं डेयरी","(c) मत्स्य पालन","(d) खाद्य"
"73.","PMMSY का लक्ष्य वर्ष क्या है?","(a) 2022","(b) 2024","(c) 2025","(d) 2030"
"74.","PMMSY किस प्रकार की योजना है?","(a) केंद्रीय क्षेत्र","(b) केंद्र प्रायोजित","(c) राज्य","(d) निजी"
"75.","PMMSY का मुख्य फोकस क्या है?","(a) उत्पादन","(b) अवसंरचना","(c) निर्यात","(d) सभी"

"76.","आयुष्मान भारत योजना का उद्देश्य क्या है?","(a) बीमा","(b) स्वास्थ्य सुरक्षा","(c) पेंशन","(d) शिक्षा"
"77.","PM-JAY के अंतर्गत बीमा कवर कितना है?","(a) ₹3 लाख","(b) ₹5 लाख","(c) ₹7 लाख","(d) ₹10 लाख"
"78.","PM-JAY किस मंत्रालय से संबंधित है?","(a) वित्त","(b) स्वास्थ्य","(c) ग्रामीण विकास","(d) श्रम"
"79.","PM-JAY लाभार्थी कौन हैं?","(a) सभी","(b) SECC परिवार","(c) सरकारी कर्मचारी","(d) छात्र"
"80.","PM-JAY किस प्रकार की योजना है?","(a) केंद्रीय क्षेत्र","(b) केंद्र प्रायोजित","(c) राज्य","(d) निजी"

"81.","राष्ट्रीय पोषण मिशन का अन्य नाम क्या है?","(a) ICDS","(b) POSHAN अभियान","(c) PM पोषण","(d) मातृत्व योजना"
"82.","POSHAN अभियान का उद्देश्य क्या है?","(a) शिक्षा","(b) कुपोषण मुक्त भारत","(c) बीमा","(d) रोजगार"
"83.","POSHAN अभियान किस मंत्रालय से संबंधित है?","(a) स्वास्थ्य","(b) महिला एवं बाल विकास","(c) शिक्षा","(d) ग्रामीण विकास"
"84.","POSHAN अभियान की शुरुआत कब हुई?","(a) 2016","(b) 2017","(c) 2018","(d) 2019"
"85.","POSHAN अभियान का लक्ष्य वर्ष क्या है?","(a) 2022","(b) 2024","(c) 2025","(d) 2030"

"86.","राष्ट्रीय सामाजिक सहायता कार्यक्रम किससे संबंधित है?","(a) बीमा","(b) पेंशन","(c) छात्रवृत्ति","(d) ऋण"
"87.","NSAP किस मंत्रालय द्वारा संचालित है?","(a) वित्त","(b) ग्रामीण विकास","(c) सामाजिक न्याय","(d) श्रम"
"88.","राष्ट्रीय वृद्धावस्था पेंशन योजना किसका भाग है?","(a) PMJDY","(b) NSAP","(c) APY","(d) PMSBY"
"89.","NSAP लाभार्थी कौन हैं?","(a) सभी","(b) BPL","(c) सरकारी","(d) छात्र"
"90.","NSAP किस प्रकार की योजना है?","(a) केंद्रीय क्षेत्र","(b) केंद्र प्रायोजित","(c) राज्य","(d) निजी"

"91.","राष्ट्रीय खाद्य सुरक्षा अधिनियम का उद्देश्य क्या है?","(a) कृषि","(b) खाद्य सुरक्षा","(c) पोषण","(d) सब्सिडी"
"92.","NFSA किस वर्ष लागू हुआ?","(a) 2011","(b) 2012","(c) 2013","(d) 2014"
"93.","NFSA के अंतर्गत लाभार्थी कौन हैं?","(a) सभी","(b) प्राथमिकता परिवार","(c) करदाता","(d) छात्र"
"94.","NFSA के अंतर्गत प्रति व्यक्ति अनाज कितना है?","(a) 3 किग्रा","(b) 4 किग्रा","(c) 5 किग्रा","(d) 6 किग्रा"
"95.","NFSA किस मंत्रालय द्वारा लागू किया जाता है?","(a) कृषि","(b) खाद्य एवं सार्वजनिक वितरण","(c) स्वास्थ्य","(d) ग्रामीण विकास"

"96.","प्रधानमंत्री गरीब कल्याण अन्न योजना किससे संबंधित है?","(a) रोजगार","(b) खाद्य वितरण","(c) स्वास्थ्य","(d) बीमा"
"97.","PMGKAY के अंतर्गत कितना अनाज मुफ्त दिया जाता है?","(a) 3 किग्रा","(b) 4 किग्रा","(c) 5 किग्रा","(d) 6 किग्रा"
"98.","PMGKAY की शुरुआत किस वर्ष हुई?","(a) 2019","(b) 2020","(c) 2021","(d) 2022"
"99.","PMGKAY का लाभ किसे मिलता है?","(a) सभी","(b) NFSA लाभार्थी","(c) केवल किसान","(d) केवल शहरी"
"100.","PMGKAY किस मंत्रालय से संबंधित है?","(a) वित्त","(b) खाद्य एवं सार्वजनिक वितरण","(c) कृषि","(d) स्वास्थ्य"
