"question_no","question","1","2","3","4"
"12.","उच्च गुणवत्ता वाले बीजों के लिए राष्ट्रीय मिशन का उद्देश्य क्या है?","(a) बीज निर्यात","(b) बीज भंडारण","(c) उन्नत बीज विकास","(d) जैविक बीज"
"13.","राष्ट्रीय बीज मिशन के अंतर्गत कितनी से अधिक बीज किस्मों की व्यावसायिक उपलब्धता सुनिश्चित की जाएगी?","(a) 50","(b) 75","(c) 100","(d) 150"
"14.","कपास उत्पादकता मिशन की अवधि कितनी है?","(a) 3 वर्ष","(b) 4 वर्ष","(c) 5 वर्ष","(d) 6 वर्ष"
"15.","किसान क्रेडिट कार्ड की ऋण सीमा कितनी बढ़ाई गई है?","(a) ₹3 लाख से ₹4 लाख","(b) ₹3 लाख से ₹5 लाख","(c) ₹4 लाख से ₹6 लाख","(d) ₹5 लाख से ₹7 लाख"

"16.","यूरिया संयंत्र कहाँ स्थापित करने की घोषणा की गई है?","(a) उत्तर प्रदेश","(b) ओडिशा","(c) असम","(d) बिहार"
"17.","यूरिया संयंत्र की वार्षिक क्षमता कितनी होगी?","(a) 10 लाख मीट्रिक टन","(b) 12.7 लाख मीट्रिक टन","(c) 15 लाख मीट्रिक टन","(d) 20 लाख मीट्रिक टन"
"18.","पहली बार महिला, एससी और एसटी उद्यमियों के लिए किस प्रकार की योजना लाई गई है?","(a) अनुदान","(b) ब्याज मुक्त ऋण","(c) टर्म लोन","(d) सब्सिडी"
"19.","नई उद्यमी योजना के अंतर्गत अधिकतम कितना ऋण प्रदान किया जाएगा?","(a) ₹1 करोड़","(b) ₹2 करोड़","(c) ₹3 करोड़","(d) ₹5 करोड़"
"20.","क्रेडिट गारंटी कवर की सीमा कितनी बढ़ाई गई है?","(a) ₹2 करोड़ से ₹5 करोड़","(b) ₹5 करोड़ से ₹10 करोड़","(c) ₹7 करोड़ से ₹12 करोड़","(d) ₹10 करोड़ से ₹15 करोड़"

"21.","सूक्ष्म उद्यमों के लिए नए क्रेडिट कार्ड की सीमा कितनी है?","(a) ₹2 लाख","(b) ₹3 लाख","(c) ₹5 लाख","(d) ₹10 लाख"
"22.","पहले वर्ष में कितने नए क्रेडिट कार्ड जारी किए जाएंगे?","(a) 5 लाख","(b) 7.5 लाख","(c) 10 लाख","(d) 12 लाख"
"23.","बिहार में राष्ट्रीय खाद्य प्रौद्योगिकी संस्थान की स्थापना किस पहल के अंतर्गत होगी?","(a) मेक इन इंडिया","(b) पूर्वोदय","(c) आत्मनिर्भर भारत","(d) स्टार्टअप इंडिया"
"24.","अगले 5 वर्षों में सरकारी स्कूलों में कितनी अटल टिंकरिंग लैब स्थापित की जाएंगी?","(a) 25,000","(b) 40,000","(c) 50,000","(d) 75,000"
"25.","भारतीय भाषा पुस्तक योजना का उद्देश्य क्या है?","(a) भाषा अनुवाद","(b) डिजिटल पुस्तक उपलब्धता","(c) नई भाषा विकास","(d) ई-लर्निंग"

"26.","कौशल विकास के लिए कितने राष्ट्रीय उत्कृष्टता केंद्र स्थापित किए जाएंगे?","(a) 3","(b) 4","(c) 5","(d) 6"
"27.","शिक्षा क्षेत्र में कृत्रिम बुद्धिमत्ता उत्कृष्टता केंद्र के लिए कितनी राशि आवंटित की गई है?","(a) ₹2,000 करोड़","(b) ₹3,500 करोड़","(c) ₹5,000 करोड़","(d) ₹7,500 करोड़"
"28.","जल जीवन मिशन की अवधि किस वर्ष तक बढ़ाई गई है?","(a) 2026","(b) 2027","(c) 2028","(d) 2030"
"29.","नवाचार के लिए निजी क्षेत्र संचालित R&D हेतु कितनी राशि का प्रावधान किया गया है?","(a) ₹10,000 करोड़","(b) ₹15,000 करोड़","(c) ₹20,000 करोड़","(d) ₹25,000 करोड़"
"30.","ज्ञान भारतम मिशन का उद्देश्य क्या है?","(a) डिजिटल शिक्षा","(b) पांडुलिपियों का संरक्षण","(c) अनुसंधान अनुदान","(d) भाषा विकास"

"31.","अगले वर्ष कितनी नई मेडिकल सीटें जोड़ी जाएंगी?","(a) 5,000","(b) 7,500","(c) 10,000","(d) 12,500"
"32.","अगले 5 वर्षों में कुल कितनी मेडिकल सीटें जोड़ी जाएंगी?","(a) 50,000","(b) 65,000","(c) 75,000","(d) 90,000"
"33.","PM-SVANidhi योजना में किस नई सुविधा को जोड़ा गया है?","(a) बीमा","(b) डिजिटल भुगतान क्रेडिट","(c) पेंशन","(d) सब्सिडी"
"34.","शहरी चुनौती कोष का कुल आकार कितना है?","(a) ₹50,000 करोड़","(b) ₹75,000 करोड़","(c) ₹1 लाख करोड़","(d) ₹1.5 लाख करोड़"
"35.","शहरी चुनौती कोष के लिए 2025–26 में कितना आवंटन प्रस्तावित है?","(a) ₹5,000 करोड़","(b) ₹7,500 करोड़","(c) ₹10,000 करोड़","(d) ₹12,500 करोड़"

"36.","SMR मिशन किस क्षेत्र से संबंधित है?","(a) सौर ऊर्जा","(b) पवन ऊर्जा","(c) परमाणु ऊर्जा","(d) जल ऊर्जा"
"37.","SMR मिशन के अंतर्गत कितने रिएक्टर 2033 तक चालू किए जाएंगे?","(a) 3","(b) 4","(c) 5","(d) 6"
"38.","उड़ान संशोधित योजना का उद्देश्य क्या है?","(a) अंतरराष्ट्रीय उड़ान","(b) क्षेत्रीय संपर्क","(c) रक्षा उड़ान","(d) चार्टर सेवा"
"39.","उड़ान योजना के तहत अगले 10 वर्षों में कितने नए गंतव्य जोड़े जाएंगे?","(a) 80","(b) 100","(c) 120","(d) 150"
"40.","उड़ान योजना के तहत कितने यात्रियों को सेवा देने का लक्ष्य है?","(a) 2 करोड़","(b) 3 करोड़","(c) 4 करोड़","(d) 5 करोड़"

"41.","ग्रीनफील्ड एयरपोर्ट की घोषणा किस राज्य में की गई है?","(a) उत्तर प्रदेश","(b) बिहार","(c) झारखंड","(d) ओडिशा"
"42.","पटनाग्रीनफील्ड एयरपोर्ट किस स्थान पर विकसित किया जाएगा?","(a) गया","(b) दरभंगा","(c) बिहटा","(d) मुजफ्फरपुर"
"43.","स्वामिह फंड-2 का उद्देश्य क्या है?","(a) MSME सहायता","(b) अधूरी आवास परियोजनाएँ","(c) स्टार्टअप फंडिंग","(d) कृषि निवेश"
"44.","स्वामिह फंड-2 का आकार कितना होगा?","(a) ₹10,000 करोड़","(b) ₹15,000 करोड़","(c) ₹25,000 करोड़","(d) ₹30,000 करोड़"
"45.","स्वामिह फंड-2 का लक्ष्य कितने आवास इकाइयों को पूरा करना है?","(a) 50,000","(b) 75,000","(c) 1 लाख","(d) 1.5 लाख"

"46.","शीर्ष 50 पर्यटन स्थलों को किस मॉडल से विकसित किया जाएगा?","(a) PPP","(b) राज्य भागीदारी","(c) चुनौती मोड","(d) केंद्र प्रायोजित"
"47.","बीमा क्षेत्र में FDI सीमा कितनी बढ़ाई गई है?","(a) 74% से 90%","(b) 74% से 100%","(c) 49% से 74%","(d) 90% से 100%"
"48.","कॉरपोरेट बॉन्ड के लिए आंशिक क्रेडिट वृद्धि सुविधा कौन प्रदान करेगा?","(a) RBI","(b) SEBI","(c) NABFID","(d) SIDBI"
"49.","2025–26 में पर्यटन विकास हेतु कितना आवंटन किया गया है?","(a) ₹2,500 करोड़","(b) ₹5,000 करोड़","(c) ₹7,500 करोड़","(d) ₹10,000 करोड़"
"50.","केंद्रीय बजट 2025–26 में निर्यात बढ़ाने के लिए किस क्षेत्र पर जोर दिया गया है?","(a) कृषि","(b) विनिर्माण","(c) सेवा","(d) बीमा"
"51.","नॉलेज भारत मिशन के अंतर्गत कितनी से अधिक पांडुलिपियों के संरक्षण का लक्ष्य रखा गया है?","(a) 50 लाख","(b) 75 लाख","(c) 1 करोड़","(d) 1.5 करोड़"
"52.","नॉलेज भारत मिशन के अंतर्गत पांडुलिपियों का कार्य किन संस्थानों के सहयोग से किया जाएगा?","(a) केवल विश्वविद्यालय","(b) केवल संग्रहालय","(c) शैक्षणिक संस्थान, संग्रहालय व पुस्तकालय","(d) केवल निजी संस्थान"
"53.","अगले वर्ष मेडिकल कॉलेजों में कितनी अतिरिक्त सीटें जोड़ी जाएंगी?","(a) 7,500","(b) 8,500","(c) 10,000","(d) 12,000"
"54.","अगले 5 वर्षों में कुल कितनी मेडिकल सीटें जोड़ने का लक्ष्य है?","(a) 60,000","(b) 65,000","(c) 70,000","(d) 75,000"
"55.","PM-SVANidhi योजना में किस नई सुविधा को जोड़ा गया है?","(a) बीमा सुविधा","(b) यूपीआई आधारित क्रेडिट कार्ड","(c) पेंशन सुविधा","(d) सब्सिडी"
"56.","PM-SVANidhi योजना के अंतर्गत अधिकतम कितना क्रेडिट कार्ड उपलब्ध कराया जाएगा?","(a) ₹10,000","(b) ₹20,000","(c) ₹30,000","(d) ₹50,000"
"57.","शहरी चुनौती कोष का कुल आकार कितना प्रस्तावित है?","(a) ₹50,000 करोड़","(b) ₹75,000 करोड़","(c) ₹1 लाख करोड़","(d) ₹1.5 लाख करोड़"
"58.","शहरी चुनौती कोष 2025–26 के लिए कितनी राशि प्रस्तावित है?","(a) ₹5,000 करोड़","(b) ₹7,500 करोड़","(c) ₹10,000 करोड़","(d) ₹12,000 करोड़"
"59.","लघु मॉड्यूलर रिएक्टर (SMR) मिशन किस क्षेत्र से संबंधित है?","(a) सौर ऊर्जा","(b) पवन ऊर्जा","(c) परमाणु ऊर्जा","(d) जल विद्युत"
"60.","SMR मिशन के अंतर्गत 2033 तक कितने रिएक्टर चालू करने का लक्ष्य है?","(a) 3","(b) 4","(c) 5","(d) 6"

"61.","संशोधित उड़ान योजना का मुख्य उद्देश्य क्या है?","(a) अंतरराष्ट्रीय उड़ान","(b) क्षेत्रीय संपर्क","(c) सैन्य उड़ान","(d) निजी चार्टर"
"62.","उड़ान योजना के अंतर्गत अगले 10 वर्षों में कितने नए गंतव्य जोड़े जाएंगे?","(a) 80","(b) 100","(c) 120","(d) 150"
"63.","उड़ान योजना के अंतर्गत कितने यात्रियों को सेवा देने का लक्ष्य है?","(a) 2 करोड़","(b) 3 करोड़","(c) 4 करोड़","(d) 5 करोड़"
"64.","ग्रीनफील्ड एयरपोर्ट किस राज्य में विकसित किए जाएंगे?","(a) उत्तर प्रदेश","(b) बिहार","(c) झारखंड","(d) ओडिशा"
"65.","बिहार में ग्रीनफील्ड एयरपोर्ट किस स्थान पर विकसित किया जाएगा?","(a) गया","(b) दरभंगा","(c) बिहटा","(d) मुजफ्फरपुर"

"66.","स्वामिह फंड-2 का उद्देश्य क्या है?","(a) MSME सहायता","(b) अधूरी आवास परियोजनाएँ","(c) स्टार्टअप फंडिंग","(d) कृषि निवेश"
"67.","स्वामिह फंड-2 का कुल आकार कितना है?","(a) ₹10,000 करोड़","(b) ₹15,000 करोड़","(c) ₹20,000 करोड़","(d) ₹30,000 करोड़"
"68.","स्वामिह फंड-2 के माध्यम से कितनी आवास इकाइयों को पूरा करने का लक्ष्य है?","(a) 50,000","(b) 75,000","(c) 1 लाख","(d) 1.5 लाख"
"69.","शीर्ष 50 पर्यटन स्थलों को किस मॉडल से विकसित किया जाएगा?","(a) PPP मॉडल","(b) केंद्र प्रायोजित","(c) राज्य अनुदान","(d) निजी निवेश"
"70.","बीमा क्षेत्र में FDI सीमा कितनी बढ़ाई गई है?","(a) 74%","(b) 90%","(c) 100%","(d) 49%"

"71.","बीमा क्षेत्र में 100% FDI किस शर्त पर अनुमत होगी?","(a) आंशिक निवेश","(b) पूर्ण प्रीमियम निवेश","(c) सरकारी अनुमति","(d) RBI स्वीकृति"
"72.","कॉरपोरेट बॉन्ड के लिए आंशिक क्रेडिट वृद्धि सुविधा किस संस्था द्वारा दी जाएगी?","(a) RBI","(b) SEBI","(c) NABFID","(d) SIDBI"
"73.","2025–26 में पर्यटन क्षेत्र के लिए कितनी राशि आवंटित की गई है?","(a) ₹2,500 करोड़","(b) ₹5,000 करोड़","(c) ₹7,500 करोड़","(d) ₹10,000 करोड़"
"74.","निर्यात बढ़ाने के लिए बजट में किस क्षेत्र पर विशेष जोर दिया गया है?","(a) कृषि","(b) विनिर्माण","(c) सेवा","(d) बीमा"
"75.","क्षेत्रीय संपर्क योजना का मूल उद्देश्य क्या है?","(a) वैश्विक उड़ान","(b) ग्रामीण संपर्क","(c) क्षेत्रीय हवाई संपर्क","(d) रक्षा उड़ान"

"76.","नए एयरपोर्ट विकास में किस मॉडल का प्रयोग किया जाएगा?","(a) EPC","(b) BOT","(c) PPP","(d) HAM"
"77.","पर्यटन विकास के लिए राज्यों का चयन किस मोड में किया जाएगा?","(a) अनुदान","(b) निविदा","(c) चुनौती मोड","(d) नामांकन"
"78.","बीमा क्षेत्र में संशोधित FDI नीति किस वर्ष से लागू होगी?","(a) 2024–25","(b) 2025–26","(c) 2026–27","(d) 2027–28"
"79.","निर्यात संवर्धन के लिए बजट में किस उपकरण पर बल दिया गया है?","(a) कर छूट","(b) लॉजिस्टिक्स","(c) डिजिटल प्लेटफॉर्म","(d) बीमा"
"80.","राष्ट्रीय बजट 2025–26 का मुख्य दृष्टिकोण क्या है?","(a) राजकोषीय संकुचन","(b) समावेशी विकास","(c) निजीकरण","(d) केवल पूंजीगत व्यय"

"81.","बजट 2025–26 में किस क्षेत्र को सर्वोच्च प्राथमिकता दी गई है?","(a) रक्षा","(b) कृषि","(c) अवसंरचना","(d) सेवा"
"82.","पूंजीगत व्यय का मुख्य उद्देश्य क्या है?","(a) राजस्व वृद्धि","(b) रोजगार सृजन","(c) दीर्घकालिक विकास","(d) सब्सिडी"
"83.","बजट 2025–26 में किसे विकास का इंजन बताया गया है?","(a) सेवा क्षेत्र","(b) MSME","(c) अवसंरचना","(d) निर्यात"
"84.","बजट के अनुसार किससे आर्थिक स्थिरता सुनिश्चित होगी?","(a) उच्च कर","(b) राजकोषीय अनुशासन","(c) सब्सिडी","(d) निजीकरण"
"85.","बजट 2025–26 में किस वर्ग पर विशेष ध्यान दिया गया है?","(a) कॉरपोरेट","(b) मध्यम वर्ग","(c) ग्रामीण गरीब","(d) निर्यातक"

"86.","केंद्रीय बजट 2025–26 किस सिद्धांत पर आधारित है?","(a) न्यूनतम सरकार","(b) अधिक कर","(c) विकास व स्थिरता","(d) केवल राजस्व"
"87.","बजट में किस क्षेत्र को रोजगार सृजन का माध्यम माना गया है?","(a) कृषि","(b) MSME","(c) रक्षा","(d) आईटी"
"88.","बजट के अनुसार आर्थिक वृद्धि का आधार क्या है?","(a) सब्सिडी","(b) निवेश","(c) उपभोग","(d) आयात"
"89.","बजट 2025–26 में वित्तीय समावेशन का साधन क्या है?","(a) बैंक विलय","(b) डिजिटल भुगतान","(c) मुद्रा योजना","(d) बीमा"
"90.","केंद्रीय बजट 2025–26 का प्रमुख लक्ष्य क्या है?","(a) कर संग्रह","(b) विकास को गति","(c) घाटा बढ़ाना","(d) निजीकरण"

"91.","बजट में ग्रामीण अर्थव्यवस्था को मजबूत करने का साधन क्या है?","(a) MSP","(b) कृषि योजना","(c) सब्सिडी","(d) निर्यात"
"92.","बजट के अनुसार आत्मनिर्भरता किस क्षेत्र से शुरू होती है?","(a) रक्षा","(b) कृषि","(c) सेवा","(d) आईटी"
"93.","बजट 2025–26 में किसे सामाजिक सुरक्षा का आधार बताया गया है?","(a) पेंशन","(b) बीमा","(c) रोजगार","(d) शिक्षा"
"94.","बजट में युवाओं के लिए प्रमुख साधन क्या है?","(a) सब्सिडी","(b) शिक्षा व कौशल","(c) ऋण माफी","(d) पेंशन"
"95.","बजट में महिला सशक्तिकरण का साधन क्या है?","(a) सब्सिडी","(b) उद्यमिता","(c) आरक्षण","(d) बीमा"

"96.","बजट में आर्थिक विकास का स्तंभ क्या बताया गया है?","(a) कर","(b) निवेश","(c) उपभोग","(d) आयात"
"97.","बजट 2025–26 में किसे दीर्घकालिक वृद्धि का माध्यम माना गया है?","(a) कृषि","(b) अवसंरचना","(c) सेवा","(d) निर्यात"
"98.","बजट में किस क्षेत्र को भविष्य का इंजन कहा गया है?","(a) रक्षा","(b) MSME","(c) अवसंरचना","(d) बीमा"
"99.","बजट 2025–26 में किसे समावेशी विकास का आधार माना गया है?","(a) कर सुधार","(b) डिजिटल इंडिया","(c) रोजगार","(d) शिक्षा"
"100.","केंद्रीय बजट 2025–26 का अंतिम उद्देश्य क्या है?","(a) घाटा कम करना","(b) समावेशी एवं सतत विकास","(c) निजीकरण","(d) कर वृद्धि"
