question_no,question,1,2,3,4,correct_ans
171, "Who was awarded the Whitley Gold Award in 2024?", "Ravi Kannan", "Alok Shukla", "Purnima Devi Barman", "Naima Khatoon", "Purnima Devi Barman"
172, "Who won the Laureus Male Player of the Year award 2024?", "Lionel Messi", "Cristiano Ronaldo", "Novak Djokovic", "Roger Federer", "Novak Djokovic"
173, "Which city became India's first police drone city?", "Chennai", "Delhi", "Mumbai", "Hyderabad", "Chennai"
174, "Which Indian cricketer became the first to score over 200 runs in a single day’s play?", "Mithali Raj", "Harmanpreet Kaur", "Smriti Mandhana", "Shafali Verma", "Shafali Verma"
175, "What is India's rank in the 2024 World Press Freedom Index?", "159th", "100th", "145th", "110th", "159th"
176, "Who won the 69th National Film Award for Best Actor?", "Rajinikanth", "Allu Arjun", "Shah Rukh Khan", "Ranbir Kapoor", "Allu Arjun"
177, "Which country won the 2024 Superbet Rapid & Blitz Poland Chess Tournament?", "India", "Russia", "USA", "Norway", "Norway"
178, "Who was appointed as the President of ASSOCHAM in 2024?", "Kapil Sibal", "Sanjay Nayar", "Ajit Doval", "P.K. Mishra", "Sanjay Nayar"
179, "Which Indian actress was awarded the Lata Deenanath Mangeshkar Award?", "Deepika Padukone", "Priyanka Chopra", "Alia Bhatt", "Amitabh Bachchan", "Amitabh Bachchan"
180, "Who became the Prime Minister of Portugal in 2024?", "Luis Montenegro", "Pedro Sanchez", "Angela Merkel", "Boris Johnson", "Luis Montenegro"
181, "Which university ranked 1st in India in the QS World University Rankings 2024?", "IIT Delhi", "IIT Bombay", "IIT Kanpur", "IIT Madras", "IIT Bombay"
182, "Which state launched the 'Mukhymantri Majhi Ladki Behan' scheme?", "Maharashtra", "Rajasthan", "Uttar Pradesh", "Madhya Pradesh", "Maharashtra"
183, "Who won the prestigious Shaw Prize in Astronomy 2024?", "Stephen Hawking", "Roger Penrose", "Shrinivas R. Kulkarni", "Subrahmanyan Chandrasekhar", "Shrinivas R. Kulkarni"
184, "Who became the next Chief of the Army Staff in 2024?", "Bipin Rawat", "Ajit Doval", "Lt. Gen. Upendra Dwivedi", "Sanjay Bhalla", "Lt. Gen. Upendra Dwivedi"
185, "Which state received GI tags for the Sanjhi ceremonial craft?", "Uttar Pradesh", "Rajasthan", "Madhya Pradesh", "Gujarat", "Uttar Pradesh"
186, "Who was re-appointed as the Prime Minister of Russia in 2024?", "Mikhail Mishustin", "Vladimir Putin", "Dmitry Medvedev", "Sergei Shoigu", "Mikhail Mishustin"
187, "Who is the current National Security Advisor of India?", "Ajit Doval", "Kapil Sibal", "Sanjay Bhalla", "P.K. Mishra", "Ajit Doval"
188, "Which Indian state launched the ‘Booth Rabta’ campaign?", "Punjab", "Gujarat", "Delhi", "Madhya Pradesh", "Punjab"
189, "Which country won the 2024 Sultan Azlan Shah Cup?", "India", "Japan", "Pakistan", "Malaysia", "Japan"
190, "Who became India's first transgender sarpanch and a Lok Sabha candidate?", "Shobha Yadav", "Gauri Sawant", "Durga Bai Majhwar", "Laxmi Narayan Tripathi", "Durga Bai Majhwar"
191, "Who was appointed as the 1st woman jury member at the Summer Olympics from India?", "Saina Nehwal", "P.T. Usha", "Dipa Karmakar", "Bilquis Mir", "Bilquis Mir"
192, "Which Indian cricketer won the 'Purple Cap' in IPL 2024?", "Harshal Patel", "Virat Kohli", "MS Dhoni", "Rohit Sharma", "Harshal Patel"
193, "Who was appointed as the Principal Secretary to PM Modi?", "P.K. Mishra", "Ajit Doval", "Sanjay Bhalla", "Kapil Sibal", "P.K. Mishra"
194, "What is the name of the campaign launched by Uttarakhand to combat forest fires?", "Pirul Lao-Paise Lao", "Green Uttarakhand", "Jungle Bachao", "Van Mahotsav", "Pirul Lao-Paise Lao"
195, "Which organization awarded Kapil Sibal the title of President of SC Bar Association?", "International Bar Association", "Supreme Court", "Bar Association of India", "UNICEF", "Supreme Court"

