question_no,question,option1,option2,option3,option4,correct_answer
29,"A: The digital revolution has changed the way we work.
B: Remote working has become more common.
C: Digital tools have increased productivity.
D: However, it has also blurred the lines between work and personal life.","ABCD","BADC","CDAB","DABC","ABCD"
30,"A: The significance of mental health is gaining recognition.
B: It is as important as physical health.
C: Mental health issues should not be stigmatized.
D: Everyone should take care of their mental well-being.","ABCD","BADC","CDAB","DABC","ABCD"
31,The man is bald. He is wearing a blue shirt. He is my uncle. He is very tall.,DBCA,BADC,CDAB,ACBD,DBCA
32,She loves reading. She has a huge collection of books. She reads every night before bed. She often visits the library.,ACBD,BDCA,DABC,CDBA,ACBD
33,The child is crying. He has lost his toy. He is looking for it everywhere. He can't find it.,BDCA,CADB,DABC,CBAD,BDCA
34,The cake is delicious. It is chocolate flavored. It has a creamy texture. Everyone at the party enjoyed it.,CABD,ABCD,BCDA,DBCA,CABD
35,The dog is barking loudly. It sees a stranger. It runs towards the gate. It stops when called.,BCAD,DCAB,ADCB,CADB,BCAD
36,The sun rises in the east. It sets in the west. It is very bright. It gives us light.,ADBC,BADC,CDBA,DCBA,ADBC
37,The flowers are blooming. The garden looks beautiful. It has various colors. It smells wonderful.,DBCA,ACBD,CABD,BADC,DBCA
38,The teacher is explaining a lesson. The students are listening attentively. They are taking notes. The classroom is quiet.,BCDA,DABC,ABDC,CDBA,BCDA
39,The car broke down. We had to call a mechanic. He fixed it quickly. We were able to continue our journey.,ACBD,CADB,BDAC,DBCA,ACBD
40,The book is on the table. It is a mystery novel. I am reading it. It is very interesting.,BCAD,DCBA,ADCB,CABD,BCAD
41,The house is being painted. It will be white. The painters are working hard. It will look new.,CABD,DBAC,BACD,ACBD,CABD
42,She is making a cake. She needs flour. She has all the other ingredients. She will bake it soon.,DCAB,ACBD,BDCA,CBAD,DCAB
43,The bird is singing. It is sitting on a tree. The tree has green leaves. The garden is peaceful.,BDAC,CADB,ADCB,BCDA,BDAC
44,He is a doctor. He works at a hospital. He helps many patients. He loves his job.,BCDA,DABC,CABD,ADBC,BCDA
45,The movie was exciting. It had great special effects. The actors performed well. The audience loved it.,ADCB,CABD,BDCA,DBAC,ADCB
46,The shop is open. It sells clothes. It has a variety of items. The prices are reasonable.,DBCA,ACBD,BADC,CABD,DBCA
47,The rain is pouring. The streets are wet. People are using umbrellas. The weather is cold.,BCAD,ADCB,DABC,CBDA,BCAD
48,The laptop is new. It has many features. It is fast. It is perfect for work.,BDAC,ACBD,CDBA,DABC,BDAC
49,The cat is sleeping. It is on the sofa. It looks comfortable. It is purring softly.,CADB,BCAD,DABC,ABCD,CADB
50,The museum is interesting. It has many exhibits. It is very educational. Visitors enjoy it.,ACBD,BCDA,DACB,DBCA,ACBD
51,The road is narrow. It is surrounded by trees. It leads to the village. It is very scenic.,BCAD,ACDB,DCBA,CABD,BCAD
52,She is learning French. She practices every day. She uses an app. She is getting better.,ADBC,BCDA,CABD,DBCA,ADBC
53,The phone rang. I answered it. It was a wrong number. I hung up.,CADB,DBAC,ACBD,BCDA,CADB
54,The cake was baked. It was decorated. It was served. It was eaten quickly.,DBCA,CABD,BADC,ADBC,DBCA
55,The train arrived. The passengers got off. The platform was crowded. The train left.,ACBD,CADB,DBCA,BACD,ACBD
56,The dog is playful. It likes to fetch. It enjoys running. It is very active.,BCAD,DCBA,ADCB,CADB,BCAD
57,She is knitting a sweater. She bought the yarn yesterday. She chose a beautiful color. She is very skilled.,BDAC,ACBD,CADB,DABC,BDAC
58,The book is old. It has yellowed pages. It is a classic. It is still read today.,CADB,BCAD,DBCA,ADBC,CADB
59,The sun is shining. The sky is clear. The weather is warm. It is a perfect day.,BCDA,ADCB,DABC,CABD,BCDA
60,The market is busy. There are many stalls. People are shopping. The atmosphere is lively.,ACBD,BDAC,DCBA,CADB,ACBD
61,The baby is laughing. She is playing with her toys. Her mother is watching. The room is filled with joy.,BDCA,CADB,ACBD,DBAC,BDCA
62,The festival is celebrated every year. It is a grand event. People from all over attend. It is full of excitement.,ACBD,DBCA,BCAD,CABD,ACBD
63,The river is flowing. It is very wide. It has clean water. People enjoy swimming in it.,BCDA,ADBC,DACB,CADB,BCDA
64,The book was published. It received good reviews. It became a bestseller. The author was happy.,DBAC,ACBD,BCDA,CADB,DBAC
65,The movie is about space. It has stunning visuals. The story is captivating. It was a huge hit.,ACBD,BDCA,DCAB,CADB,ACBD
66,The tree is tall. It has many branches. It provides shade. It is home to many birds.,BCDA,ADBC,CADB,DCAB,BCDA
67,The concert was amazing. The band played well. The crowd cheered loudly. The atmosphere was electrifying.,BDAC,ACBD,CDBA,DBCA,BDAC
68,The pizza is hot. It is cheesy. It has a crispy crust. It tastes delicious.,CADB,BCDA,DBAC,ADBC,CADB
69,The garden is beautiful. It has colorful flowers. It is well-maintained. It is a pleasure to walk in.,DBCA,ACBD,BADC,CADB,DBCA
70,The lake is calm. It reflects the sky. It is surrounded by trees. It is a serene spot.,BCAD,ADBC,DACB,CDBA,BCAD
71,The cat climbed the tree. It got stuck. It meowed for help. Someone rescued it.,BDAC,CABD,ACDB,DCBA,BDAC
72,The book is on the shelf. It is about history. It has many illustrations. It is very informative.,ACBD,BCAD,DCBA,CABD,ACBD
73,The park is crowded. Children are playing. Adults are jogging. Everyone is having fun.,BCDA,DABC,ACBD,DBCA,BCDA
74,The car is new. It is red. It has a powerful engine. It drives smoothly.,BDAC,ACBD,CADB,DCBA,BDAC
75,The house is big. It has many rooms. It is well-furnished. It is very comfortable.,CADB,BCDA,DBAC,ADBC,CADB
76,The storm is coming. The sky is dark. The wind is strong. People are taking shelter.,DBCA,ACBD,BCDA,CADB,DBCA
