question_no,question,1,2,3,4,correct_ans
18,"कॉमिवे्थ गेमस के  सवणरा ्पदक नविेता मिोि कुमार िे संनयास 
िेिे की घोषणा की है, उिका संबध नकस षिेरि से है?",हॉकी,मुकके बाि,बैडनमंटि,शतरंि,हॉकी
19,"हाि ही में िोडे गए िए रामसर सथिों के  संदभरा में ग़ित नमिाि 
नक ्पहचाि कीनिए -",तनमििाडु - सककरकोट्टई ्पषिी अभयारणय,"तेिंगािा- थेथथंगि ्पषिी अभयारणय,",नसनककम - िेचो्पिरी आरिराभयूनम,झारिंड - उधवा झीि,तनमििाडु - सककरकोट्टई ्पषिी अभयारणय
20,"अफीका महाद्ी्प में तवचा और आंिों की गंभीर बीमारी 
ऑनकोसेरनसयानसस को ितम करिे वािा ्पहिा देश कौि 
बिा है?",कोिंनबया,इकवाडोर,गवाटेमािा,िाइिर,कोिंनबया
21,"भारत की ्पहिी हाइड्ोिि-ट्ांस्पोटरा ्पाइ्प नवकनसत की करिे 
वािी कं ्पिी कौि बि गई है?",टाटा सटीि,JSW,Adani Energy,Reliance Energy,टाटा सटीि
22,"्पहिा रायसीिा मधय ्पयूवरा सममेिि, 28 और 29 ििवरी 2025 
को कहाँ आयोनित नकया गया ?",ररयाद,कतर,शारिाह,अबयू धाबी,ररयाद
23,"5 घंटे 26 नमिट की स्पेसवॉक (अंतररषि में चहिकदमी) ्पयूरी 
कर स्पेसवॉक का िया ररकॉडरा नकसिे बिाया है ?",बुच नव्मोर,सुिीता नवनियमस,्पैगी नवहटसि,िेफ बेिोस,बुच नव्मोर
24,"'गररमा से म्रतयु का अनधकार' िागयू करिे वािा भारत का ्पहिा 
राजय कौि बि गया है?",तनमििाडु,तेिंगािा,किाराटक,के रेिा,तनमििाडु
25,"आनथराक सववेषिण 2024-25 के  अिुसार नवत् वषरा 2025-26 में 
भारत की GDP का व्रनधि दर नकतिा रहिे का अिुमाि है?",6.3-6.8 %,6.6-6.8%,6.9-7.8%,7.3-6.8%,6.3-6.8 %
26,"हाि ही में नकस इंनडयि एयरफोसरा (IAF) कै पटि ऑनफसर को 
िासा के  एनगियम नमशि के  निए चुिा गया है?",्पैगी नवहटसि,शुभांशु शुकिा,अंगद प्रता्प,अिीत क्रष्णि,्पैगी नवहटसि
27,"हाि ही में नकस ्पयूवरा भारतीय नक्के टर को BCCI िाइफटाइम 
अचीवमेंट अवाडरा प्रदाि नकया गया है ?",Saurav Ganguly,Rahul dravid,Anil Kumble,Sachiin,Saurav Ganguly
28,"हाि ही में ग्रह मंरिािय िे सयूिा प्रभानवत इिाकों के  निए 
नकतिे की ्पररयोििाएं मंियूर की है?","1,027.86 करोड रु्पए","2,027.86 
करोड 
रु्पए","3,027.86 करोड रु्पए","4,027.86","1,027.86 करोड रु्पए"
29,"नकस देश को ्परानित कर भारत िे आईसीसी अंडर-19 मनहिा 
टी-20 नक्के ट नवश्व क्प का निताब िीत निया है?",श्ीिंका,दनषिण अफीका,बांगिादेश,्पानकसताि,श्ीिंका
30,टाटा सटीि मासटसरा 2025 का निताब नकसिे िीता है?,नवजक आि जी,आर. प्रज्ाििंदा,डी. गुके श,नवश्विाथि आिंद,नवजक आि जी
31,"िेिो इंनडया नवंटर गेमस 2025 के  संदभरा में कथिों ्पर नवचार 
कीनिए-
 
1. िेिो इंनडया नवंटर गेमस (KIWG) 2025 का आयोिि 
िेह, िद्ाि में हुआ।
 
2. िद्ाि िे कुि 7 ्पदक (4 सवणरा सनहत) िीतकर ्पदक 
तानिका में ्पहिा सथाि हानसि नकया।
 
3. तनमििाडु, महाराष्ट् ्पदक तानिका में क्मश:दयूसरे और 
तीसरे सथाि ्पर रहा।
 
उ्पयुराक्त कथिों में से कौि सा/से सतय है/हैं?",के वि 1,के वि 1 और 2,के वि 2 और 3,उ्परोक्त मे से सभी सही है ।,के वि 1
32,निमिनिनित में से ग़ित नमिाि को ्पहचानिए-,3 फरवरी - नवश्व वेटिैंड्स नदवस नवश्व कैं सर नदवस,4 फरवरी - नवश्व कैं सर नदवस,2 फरवरी - रुमेटॉइड आथराराइनटस िागरूकता नदवस,6 फरवरी - मनहिा िििांग नवक्रनत के  प्रनत शयूनय,3 फरवरी - नवश्व वेटिैंड्स नदवस नवश्व कैं सर नदवस
33,"बाटरा डी वेवर िे नकस देश के  िए प्रधािमंरिी के  रू्प में श्पथ िी 
है?",बाजीि,बेन्ियम,िमरािी,फांस,बाजीि
34,ट्रु थटेि हैकाथॉि चैिेंि की घोषणा नकसके  द्ारा नकया गया है?,"सयूचिा एवं प्रसारण मंरिािय (b) संसक्रनत मंरिािय
 
(c) ग्रह मंरिािय 
(d) नशषिा मंरिािय
35. भारत िे वषरा 2025 के  निए संयुक्त राष्ट् के  नियनमत बिट में 
नकतिा का योगदाि नदया है?
 
(a) 32.64 नमनियि डॉिर","37.64 
नमनियि 
डॉिर",47.64 नमनियि डॉिर,57.64,"सयूचिा एवं प्रसारण मंरिािय (b) संसक्रनत मंरिािय
 
(c) ग्रह मंरिािय 
(d) नशषिा मंरिािय
35. भारत िे वषरा 2025 के  निए संयुक्त राष्ट् के  नियनमत बिट में 
नकतिा का योगदाि नदया है?
 
(a) 32.64 नमनियि डॉिर"
36,"दुनिया में सबसे बडा मोबाइि नवनिमाराण करिे वािा देश कौि 
बि गया है?",भारत,चीि,अमेररका,ताइवाि,भारत
37,"4  फरवरी को मिाए िािे वािे नवश्व कैं सर नदवस 2025 का 
KGS Campus, Sai Mandir Musallahpur Hatt, Patna-06
KGS-3
8877918018,8757354880
IAS
KGS
नवषय कया है?",कैं सर के  नििाफ िडाई,सभी के  निए कैं सर िागरूकता,ययूिाइटेड बाय ययूनिक,कैं सर मुक्त दुनिया,कैं सर के  नििाफ िडाई
38,"एआई एवरीनथंग गिोबि सममेिि का आयोिि कहाँ नकया 
गया है?",ररयाद,कतर,शारिाह,अबयू धाबी,ररयाद
39,"राष्ट््पनत डोिा्ड ट्म्प िे फरवरी 2025 में नकस अंतराराष्ट्ीय 
संगठि से संयुक्त राजय अमेररका के  हटिे की घोषणा की?",नवश्व सवास्थय संगठि (WHO),"संयुक्त राष्ट् शैनषिक, वैज्ानिक और सांसक्रनतक संगठि 
(ययूिेसको)",संयुक्त राष्ट् मािवानधकार ्पररषद (UNHRC),अंतराराष्ट्ीय मुरिा कोष (IMF),नवश्व सवास्थय संगठि (WHO)
40,"नकस राजय में नसथत ‘्पीएमश्ी गवममेंट सीनियर सेकें डरी सकयूि’ 
को नमिा ग्ीि सकयूि रेनटंग का ्पुरसकार नदया गया है ?",नसनककम,के रि,असम,गोवा,नसनककम
41,"नद्िी में नकतिे साि बाद भाि्पा की सत्ा में वा्पसी हो रही 
है?",27 साि,28 साि,23 साि,20 साि,27 साि
42,"नबमसटेक युवा नशिर सममेिि 2025 का आयोिि 7 से 11 
फरवरी 2025 तक ___________ में होगा ।",नद्िी,भुबिेश्वर,गांधीिगर,िय्पुर,नद्िी
43,"नथएटर िेवि ऑ्परेशिि एकसरसाइि (ट्ो्पेकस) 2025 का 
उद्ेशय कया है?",भारतीय िौसेिा के  मुखय युधि कौशि को मानय करिा,साइबर नसकयोररटी के  सुधार,वया्पार मागगों की सुरषिा,िागररक सुरषिा की षिमता बढ़ािे के  निए,भारतीय िौसेिा के  मुखय युधि कौशि को मानय करिा
44,"कें रिीय मंनरिमंडि िे राष्ट्ीय सफाई कमराचारी आयोग (NCSK) 
के  कायराकाि को नकतिे साि के  निए बढ़ा नदया है?",3,4,5,6,3
45,"कें रि सरकार िे नकि 3 कौशि नवकास की योििाओं को 
नमिाकर एक नसकि इंनडया प्रोग्ाम बिािे का फैसिा नकया है, 
िो एक कें रिीय योििा होगी?","प्रधािमंरिी कौशि नवकास योििा 4.0 (PMKVVY 
4.0)","प्रधािमंरिी िेशिि अप्रेंनटस प्रमोशि सकीम (PM-
NAPS)",िि नशषिण संसथाि (JSS) योििा,दीिदयाि उ्पाधयाय कौशि नवकास योििा,"प्रधािमंरिी कौशि नवकास योििा 4.0 (PMKVVY 
4.0)"
46,"इंटरिेशिि नक्के ट काउंनसि यािी ICC िे 7 फरवरी को 
चैंन्पयंस ट्ॉफी 2025 का कौि सा ऑनफनशयि सॉनग ररिीि 
नकया?",िीतो बािी िेि के,िीत िो िेि,नक्के ट का महाकुं भ,चैनम्पयि का ििवा,िीतो बािी िेि के
47,"्पानकसताि फुटबॉि फेडरेशि को फीफा िे कयों नििंनबत नकया 
है?",संनवधाि में संशोधि करिे में नवफिता के  कारण,नििानडयों के  दुवयरावहार के  कारण,िेि मैदािों को मािकों को ्पयूरा िहीं करिे के  कारण,टयूिारामेंट में िहीं िेििे के  कारण,संनवधाि में संशोधि करिे में नवफिता के  कारण
48,"संयुक्त राष्ट् महासभा के  79वें सरि के  अधयषि कौि हैं िो फरवरी 
2025 में भारत की यारिा ्पर आए हैं?",एंटोनियो गुटेरेस,नफिेमोि यांग,बाि की मयूि,कोफी अनिाि,एंटोनियो गुटेरेस
49,"हाि ही में, नकस राजय की सरकार िे भारत की ्पहिी AI 
University बिािे की घोषणा की है?",महाराष्ट्,रािसथाि,गुिरात,किाराटक,महाराष्ट्
50,"नमसेि व्डरा 2025 की नविेता तसेगो गेिई नकस देश का 
प्रनतनिनधतव करती हैं?",Sri Lanka,United States,South Africa,Thailand,Sri Lanka
51,"सयूयरा िमसकार’: नकस राजय की नशषिा नवभाग िे िया नवश्व 
ररकॉडरा बिाया है?",नसनककम,के रि,असम,रािसथाि,नसनककम
52,"रषिा मंरिािय िे भारतीय सेिा के  न्पिाका म्टी-िॉनचर रॉके ट 
नससटम के  निए नकसके  साथ  की दो बडी डीि ्पर साइि नकए 
हैं?",इकोिॉनमक एकसपिोनसवस निनमटेड,भारत डायिानमकस निनमटेड,भेि,डीआरडीओ,इकोिॉनमक एकसपिोनसवस निनमटेड
53,"नकस कें रिीय मंरिी िे हाइनबड मोड में राष्ट्ीय सतर के  िि सं्पकरा  
अनभयाि 'वाटरशेड यारिा' का शुभारंभ नकया है ?",गिेंरि नसंह शेिावत,नशवराि नसंह चौहाि,नगररराि नसंह,अनमत शाह,गिेंरि नसंह शेिावत
54,"नकस राजय िे ‘बेटी बचाओ बेटी ्पढ़ाओ’ योििा के  तहत 
""निभराया कढ़ी"" (निडर किी), ""मो गे्हा निया"" (मेरी पयारी 
बेटी), ""क््पिा अनभिाि"", ""सवणरा कानिका"" और ""वीरांगिा 
योििा"" िागयू की है?",झारिंड,ओनडशा,असम,रािसथाि,झारिंड
55,"16 फरवरी से इंटरिेशिि बडरा फेनसटवि का आयोिि कहाँ 
नकया िाएगा ?
KGS Campus, Sai Mandir Musallahpur Hatt, Patna-06
KGS-4
8877918018,8757354880
IAS
KGS",अहमदाबाद,अयोधया,िई नद्िी,मुंबई,अहमदाबाद
56,"भारत िे सौर ऊिारा उत्पादि षिमता को नकतिा बढ़ा कर एक 
ऐनतहानसक उ्पिनबध हानसि की है?",50 गीगावाट,100 गीगावाट,300 गीगावाट,400 गीगावाट,50 गीगावाट
57,"भारतीय किा इनतहास कांग्ेस के  संदभरा में निमिनिनित कथिों 
्पर नवचार कीनिए-
 
1. भारतीय किा इनतहास कांग्ेस का 32वां सरि िोएडा में 
शुरू हो रहा है।
 
2. प्रधािमंरिी िरेंरि मोदी तीि नदवसीय कायराक्म का उद्ाटि 
करेंगे।
 
3. इस वषरा के  आयोिि का नवषय है-“किा और संसक्रनत 
में भारतीय महाकावयों का योगदाि”।
 
उ्पयुराक्त कथिों में से कौि सा/से सतय है/हैं?",के वि 1,के वि 1 और 3,के वि 2 और 3,उ्परोक्त मे से सभी सही है ।,के वि 1
58,"करीब ्पांच वषरा बाद भारतीय ररिवरा बैंक िे िीनतगत रे्पो रेट में 
कटौती कर नकतिा कर नदया है?",6.50%,6.25%,3.35%,6%,6.50%
59,"नडनिटि फॉड रोकिे के  निए ‘बैंकडॉटइि’ और ‘नफिडॉटइि’ 
डोमेि नक शुरुआत नकसिे नकया है ?",सेबी,आरबीआई,IREDA,NOTA,सेबी
60,"____________  िे 6 फरवरी को चीि के  AI चैटबॉट 
DeepSeek को सभी सरकारी नडवाइसेि से बैि कर नदया है।",ऑसट्ेनिया,भारत,िा्पाि,अमेररका,ऑसट्ेनिया
61,"अंतराराष्ट्ीय चमरा एकस्पो (डीआईएिईएकस) 2025 का 
आयोिि कहाँ नकया गया है?",अहमदाबाद,अयोधया,िई नद्िी,मुंबई,अहमदाबाद
62,"“शतावरी – बेहतर सवास्थय के  निए” अनभयाि की शुरुआत 
नकस मंरिािय द्ारा नकया गया है?","सयूचिा एवं प्रसारण मंरिािय (b) संसक्रनत मंरिािय
 
(c) ग्रह मंरिािय 
(d) नशषिा मंरिािय
63. सेिा की ्पयूववी कमाि के  मुखयािय 'फोटरा नवनियम' का िाम 
बदिकर कया कर नदया गया है ?
 
(a) वैभव दुगरा",नविय दुगरा,नसंधु दुगरा,रनव दुगरा,"सयूचिा एवं प्रसारण मंरिािय (b) संसक्रनत मंरिािय
 
(c) ग्रह मंरिािय 
(d) नशषिा मंरिािय
63. सेिा की ्पयूववी कमाि के  मुखयािय 'फोटरा नवनियम' का िाम 
बदिकर कया कर नदया गया है ?
 
(a) वैभव दुगरा"
64,"IT मंरिी अनश्विी वैष्णव िे नकस कं ्पिी के  CEO सैम अ्टमैि 
से मुिाकात की है?",OpenAI,DeepSeek,Generative ai,Blackbox ai,OpenAI
65,"नकस देश से भारत को S-400 एयर नडफेंस नससटम का चौथा 
सकवाड्ि साि 2025 के  अंत तक नमि सकता है?",फांस,रूस,िा्पाि,अमेररका,फांस
66,"नकस देश की ्पानिरायामेंट िे सखत घ्रणा- नवरोधी अ्पराध काियूि 
्पाररत नकया है?",फांस,रूस,िा्पाि,अमेररका,फांस
67,"नकस देश में ्पुरुषों, ट्ांसिेंडर मनहिाओं तथा िडनकयों को 
मनहिा वगरा के  िेिों में भाग िेिे से रोकिे संबंधी आदेश िागयू 
हुआ है?",फांस,रूस,िा्पाि,अमेररका,फांस
68,"नकस देश िे अंतराराष्ट्ीय अ्पराध नयायािय ्पर प्रनतबंध िगािे 
से संबंनधत कायराकारी आदेश ्पर िागयू कर नदया है ?",फांस,रूस,िा्पाि,अमेररका,फांस
69,भारत नकस वषरा चंरियाि-4 नमशि िॉनच करेगा?,2025,2026,2027,2028,2025
70,"िििानत संसक्रनतक समागम-2025 का आयोिि कहाँ ्पर 
शुरू हुआ है?",अयोधया,प्रयागराि,िई नद्िी,मुंबई,अयोधया
71,"हाि ही में अमेररका के  बाद अब नकस देश िे भी WHO से 
बाहर निकििे का फैसिा नकया है?",अिमेंटीिा,फांस,रूस,िा्पाि,अिमेंटीिा
72,"्पानकसताि चीि के  चांग’ए-8 चंरि नमशि में शानमि हुआ। यह 
नमशि वषरा प्रषिेन्पत नकया िाएगा?",2025,2026,2027,2028,2025
73,"नकस देश के  वैज्ानिकों िे एक ऐनतहानसक सफिता हानसि 
करते हुए ्पहिी बार इि नवट्ो फनटरािाइिेशि (IVF) तकिीक 
का उ्पयोग करके  कं गारू भ्यूणतैयार नकए हैं?",ऑसट्ेनिया,रूस,िा्पाि,अमेररका,ऑसट्ेनिया
74,"नकस देश िे आनधकाररक रू्प से चीि की बे्ट एंड रोड 
इनिनशएनटव (BRI) से बाहर होिे की घोषणा की है ?",रूस,िा्पाि,अमेररका,्पिामा,रूस
75,"एकीक्रत सवास्थय समाधाि के  निए ययूिािी नचनकतसा में 
िवाचार - आगे का रासता” नवषय के  साथ ययूिािी नदवस कब 
मिाया गया?",11 फरवरी,12 फरवरी,13 फरवरी,14 फरवरी,11 फरवरी
76,अगिे AI एकशि सनमट की मेिबािी कौि सा देश करेगा?,फांस,"भारत
KGS Campus, Sai Mandir Musallahpur Hatt, Patna-06
KGS-5
8877918018,8757354880
IAS
KGS",िा्पाि,अमेररका,फांस
77,भारत ऊिारा सप्ाह 2025 का उद्ाटि नकसिे नकया है?,िगदी्प धिकर,रिौ्पदी मुरमयू,श्ी िरेनरि मोदी,अनमत शाह,िगदी्प धिकर
78,"भारत और नकस देश के  बीच संयुक्त नवशेष बि अभयास 
साइकिोि का तीसरा संसकरण रािसथाि के  महािि फी्ड 
फायररंग रेंि में शुरू हुआ?",ओमाि,कतर,कुवैत,सऊदी अरब,ओमाि
79,"िोकसभा अधयषि िे संसद में नकतिी ई भाषाओं में अिुवाद 
सेवाओं के  नवसतार की घोषणा की है?",5,6,7,8,5
80,"नवश्व सरकार नशिर सममेिि में वैनश्वक उतक्रष्ट एम-गाँव 
्पुरसकार-2025 में भारत िे कौि सा ्पुरसकार िीता है?",सवणरा ्पदक,रित ्पदक,कांसय ्पदक,NOTA,सवणरा ्पदक
81,"आईसीसी 'डोिेट ऑगराि सेव िाइफस' (Donate Organs, 
Save Lives) ्पहि का आयोिि कहाँ नकया गया है?",नद्िी,अहमदाबाद,मुंबई,चेनिई,नद्िी
